building_id,meter,timestamp,meter_reading,site_id,primary_use,square_feet,year_built,floor_count,air_temperature,cloud_coverage,dew_temperature,precip_depth_1_hr,sea_level_pressure,wind_direction,wind_speed
100,0,2016-01-01 03:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,21.1,,21.1,0.0,1.019e+03,210.0,1.5
150,0,2016-01-01 03:00:00,312.9,1,Office,65657,1.955e+03,8.0,2.0,0.0,1.2,,1.0225e+03,170.0,1.5
0,0,2016-01-01 04:00:00,0.0,0,Education,7432,2.008e+03,,20.6,,20.0,0.0,1.018e+03,0.0,0.0
50,0,2016-01-01 04:00:00,0.0,0,Other,4698,1.981e+03,,20.6,,20.0,0.0,1.018e+03,0.0,0.0
100,0,2016-01-01 04:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,20.6,,20.0,0.0,1.018e+03,0.0,0.0
150,0,2016-01-01 04:00:00,313.1,1,Office,65657,1.955e+03,8.0,2.3,0.0,1.8,,1.0225e+03,110.0,1.5
0,0,2016-01-01 05:00:00,0.0,0,Education,7432,2.008e+03,,21.1,,20.6,0.0,1.019e+03,290.0,1.5
50,0,2016-01-01 05:00:00,0.0,0,Other,4698,1.981e+03,,21.1,,20.6,0.0,1.019e+03,290.0,1.5
100,0,2016-01-01 05:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,21.1,,20.6,0.0,1.019e+03,290.0,1.5
150,0,2016-01-01 05:00:00,315.7,1,Office,65657,1.955e+03,8.0,2.4,,2.0,,1.023e+03,100.0,1.0
0,0,2016-01-01 06:00:00,0.0,0,Education,7432,2.008e+03,,21.1,,20.6,-1.0,1.0185e+03,0.0,0.0
50,0,2016-01-01 06:00:00,0.0,0,Other,4698,1.981e+03,,21.1,,20.6,-1.0,1.0185e+03,0.0,0.0
100,0,2016-01-01 06:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,21.1,,20.6,-1.0,1.0185e+03,0.0,0.0
150,0,2016-01-01 06:00:00,323.7,1,Office,65657,1.955e+03,8.0,2.3,,1.8,,1.023e+03,90.0,1.5
0,0,2016-01-01 07:00:00,0.0,0,Education,7432,2.008e+03,,20.6,,20.0,0.0,1.019e+03,0.0,0.0
50,0,2016-01-01 07:00:00,0.0,0,Other,4698,1.981e+03,,20.6,,20.0,0.0,1.019e+03,0.0,0.0
100,0,2016-01-01 07:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,20.6,,20.0,0.0,1.019e+03,0.0,0.0
150,0,2016-01-01 07:00:00,347.8,1,Office,65657,1.955e+03,8.0,2.6,,1.9,,1.0225e+03,80.0,1.0
0,0,2016-01-01 08:00:00,0.0,0,Education,7432,2.008e+03,,18.9,6.0,18.9,0.0,1.019e+03,210.0,1.5
50,0,2016-01-01 08:00:00,0.0,0,Other,4698,1.981e+03,,18.9,6.0,18.9,0.0,1.019e+03,210.0,1.5
100,0,2016-01-01 08:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,18.9,6.0,18.9,0.0,1.019e+03,210.0,1.5
150,0,2016-01-01 08:00:00,350.8,1,Office,65657,1.955e+03,8.0,2.2,,1.5,,1.0225e+03,60.0,1.0
0,0,2016-01-01 09:00:00,0.0,0,Education,7432,2.008e+03,,20.0,,20.0,0.0,1.0195e+03,0.0,0.0
50,0,2016-01-01 09:00:00,0.0,0,Other,4698,1.981e+03,,20.0,,20.0,0.0,1.0195e+03,0.0,0.0
100,0,2016-01-01 09:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,20.0,,20.0,0.0,1.0195e+03,0.0,0.0
150,0,2016-01-01 09:00:00,352.9,1,Office,65657,1.955e+03,8.0,2.2,,1.2,,1.022e+03,100.0,2.6
0,0,2016-01-01 10:00:00,0.0,0,Education,7432,2.008e+03,,21.7,,21.1,0.0,1.02e+03,0.0,0.0
50,0,2016-01-01 10:00:00,0.0,0,Other,4698,1.981e+03,,21.7,,21.1,0.0,1.02e+03,0.0,0.0
100,0,2016-01-01 10:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,21.7,,21.1,0.0,1.02e+03,0.0,0.0
150,0,2016-01-01 10:00:00,354.6,1,Office,65657,1.955e+03,8.0,4.0,,1.8,,1.021e+03,90.0,4.1
0,0,2016-01-01 11:00:00,0.0,0,Education,7432,2.008e+03,,23.9,,21.1,0.0,1.0205e+03,210.0,3.1
50,0,2016-01-01 11:00:00,0.0,0,Other,4698,1.981e+03,,23.9,,21.1,0.0,1.0205e+03,210.0,3.1
100,0,2016-01-01 11:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,23.9,,21.1,0.0,1.0205e+03,210.0,3.1
150,0,2016-01-01 11:00:00,360.2,1,Office,65657,1.955e+03,8.0,5.4,,1.9,,1.0205e+03,120.0,3.6
0,0,2016-01-01 12:00:00,0.0,0,Education,7432,2.008e+03,,26.1,,20.0,0.0,1.02e+03,210.0,4.1
50,0,2016-01-01 12:00:00,0.0,0,Other,4698,1.981e+03,,26.1,,20.0,0.0,1.02e+03,210.0,4.1
100,0,2016-01-01 12:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,26.1,,20.0,0.0,1.02e+03,210.0,4.1
150,0,2016-01-01 12:00:00,363.2,1,Office,65657,1.955e+03,8.0,7.0,,4.4,,1.019e+03,120.0,5.1
0,0,2016-01-01 13:00:00,0.0,0,Education,7432,2.008e+03,,26.7,,20.6,0.0,1.0195e+03,230.0,3.6
50,0,2016-01-01 13:00:00,0.0,0,Other,4698,1.981e+03,,26.7,,20.6,0.0,1.0195e+03,230.0,3.6
100,0,2016-01-01 13:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,26.7,,20.6,0.0,1.0195e+03,230.0,3.6
150,0,2016-01-01 13:00:00,359.7,1,Office,65657,1.955e+03,8.0,7.2,,4.4,,1.0175e+03,110.0,5.7
0,0,2016-01-01 14:00:00,0.0,0,Education,7432,2.008e+03,,27.8,6.0,20.0,0.0,1.018e+03,200.0,5.1
50,0,2016-01-01 14:00:00,0.0,0,Other,4698,1.981e+03,,27.8,6.0,20.0,0.0,1.018e+03,200.0,5.1
100,0,2016-01-01 14:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,27.8,6.0,20.0,0.0,1.018e+03,200.0,5.1
150,0,2016-01-01 14:00:00,356.8,1,Office,65657,1.955e+03,8.0,7.4,,4.5,,1.016e+03,100.0,5.1
0,0,2016-01-01 15:00:00,0.0,0,Education,7432,2.008e+03,,28.3,,19.4,0.0,1.017e+03,180.0,5.1
50,0,2016-01-01 15:00:00,0.0,0,Other,4698,1.981e+03,,28.3,,19.4,0.0,1.017e+03,180.0,5.1
100,0,2016-01-01 15:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,28.3,,19.4,0.0,1.017e+03,180.0,5.1
150,0,2016-01-01 15:00:00,358.8,1,Office,65657,1.955e+03,8.0,7.5,,5.6,,1.015e+03,100.0,7.2
0,0,2016-01-01 16:00:00,0.0,0,Education,7432,2.008e+03,,28.3,,18.9,0.0,1.017e+03,210.0,4.1
50,0,2016-01-01 16:00:00,0.0,0,Other,4698,1.981e+03,,28.3,,18.9,0.0,1.017e+03,210.0,4.1
100,0,2016-01-01 16:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,28.3,,18.9,0.0,1.017e+03,210.0,4.1
150,0,2016-01-01 16:00:00,356.2,1,Office,65657,1.955e+03,8.0,7.6,,6.7,,1.014e+03,110.0,5.7
0,0,2016-01-01 17:00:00,0.0,0,Education,7432,2.008e+03,,27.8,,18.3,0.0,1.017e+03,220.0,4.6
50,0,2016-01-01 17:00:00,0.0,0,Other,4698,1.981e+03,,27.8,,18.3,0.0,1.017e+03,220.0,4.6
100,0,2016-01-01 17:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,27.8,,18.3,0.0,1.017e+03,220.0,4.6
150,0,2016-01-01 17:00:00,353.6,1,Office,65657,1.955e+03,8.0,8.0,,7.1,,1.0125e+03,120.0,6.7
0,0,2016-01-01 18:00:00,0.0,0,Education,7432,2.008e+03,,26.7,,18.3,0.0,1.017e+03,230.0,3.1
50,0,2016-01-01 18:00:00,0.0,0,Other,4698,1.981e+03,,26.7,,18.3,0.0,1.017e+03,230.0,3.1
100,0,2016-01-01 18:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,26.7,,18.3,0.0,1.017e+03,230.0,3.1
150,0,2016-01-01 18:00:00,344.2,1,Office,65657,1.955e+03,8.0,8.1,,6.5,,1.011e+03,130.0,7.7
0,0,2016-01-01 19:00:00,0.0,0,Education,7432,2.008e+03,,25.6,,18.3,0.0,1.0175e+03,230.0,3.1
50,0,2016-01-01 19:00:00,0.0,0,Other,4698,1.981e+03,,25.6,,18.3,0.0,1.0175e+03,230.0,3.1
100,0,2016-01-01 19:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,25.6,,18.3,0.0,1.0175e+03,230.0,3.1
150,0,2016-01-01 19:00:00,345.4,1,Office,65657,1.955e+03,8.0,8.1,,6.3,,1.01e+03,120.0,8.8
0,0,2016-01-01 20:00:00,0.0,0,Education,7432,2.008e+03,,24.4,6.0,18.9,-1.0,1.018e+03,270.0,2.6
50,0,2016-01-01 20:00:00,0.0,0,Other,4698,1.981e+03,,24.4,6.0,18.9,-1.0,1.018e+03,270.0,2.6
100,0,2016-01-01 20:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,24.4,6.0,18.9,-1.0,1.018e+03,270.0,2.6
150,0,2016-01-01 20:00:00,343.2,1,Office,65657,1.955e+03,8.0,8.2,,6.2,,1.009e+03,120.0,8.2
0,0,2016-01-01 21:00:00,0.0,0,Education,7432,2.008e+03,,23.9,4.0,18.3,0.0,1.0185e+03,300.0,2.1
50,0,2016-01-01 21:00:00,0.0,0,Other,4698,1.981e+03,,23.9,4.0,18.3,0.0,1.0185e+03,300.0,2.1
100,0,2016-01-01 21:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,23.9,4.0,18.3,0.0,1.0185e+03,300.0,2.1
150,0,2016-01-01 21:00:00,331.5,1,Office,65657,1.955e+03,8.0,8.5,,6.1,,1.0075e+03,120.0,8.2
0,0,2016-01-01 22:00:00,0.0,0,Education,7432,2.008e+03,,22.2,,19.4,0.0,,360.0,5.7
50,0,2016-01-01 22:00:00,0.0,0,Other,4698,1.981e+03,,22.2,,19.4,0.0,,360.0,5.7
100,0,2016-01-01 22:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,22.2,,19.4,0.0,,360.0,5.7
150,0,2016-01-01 22:00:00,327.8,1,Office,65657,1.955e+03,8.0,8.3,,6.5,,1.0065e+03,130.0,8.2
0,0,2016-01-01 23:00:00,0.0,0,Education,7432,2.008e+03,,21.1,,18.9,0.0,1.0195e+03,20.0,5.1
50,0,2016-01-01 23:00:00,0.0,0,Other,4698,1.981e+03,,21.1,,18.9,0.0,1.0195e+03,20.0,5.1
100,0,2016-01-01 23:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,21.1,,18.9,0.0,1.0195e+03,20.0,5.1
150,0,2016-01-01 23:00:00,323.1,1,Office,65657,1.955e+03,8.0,7.9,,7.0,,1.005e+03,130.0,7.2
0,0,2016-01-02 00:00:00,0.0,0,Education,7432,2.008e+03,,20.6,,17.8,0.0,1.0195e+03,30.0,4.6
50,0,2016-01-02 00:00:00,0.0,0,Other,4698,1.981e+03,,20.6,,17.8,0.0,1.0195e+03,30.0,4.6
100,0,2016-01-02 00:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,20.6,,17.8,0.0,1.0195e+03,30.0,4.6
150,0,2016-01-02 00:00:00,322.0,1,Office,65657,1.955e+03,8.0,8.1,,7.4,,1.004e+03,130.0,7.2
0,0,2016-01-02 01:00:00,0.0,0,Education,7432,2.008e+03,,19.4,4.0,17.2,0.0,1.0195e+03,20.0,2.6
50,0,2016-01-02 01:00:00,0.0,0,Other,4698,1.981e+03,,19.4,4.0,17.2,0.0,1.0195e+03,20.0,2.6
100,0,2016-01-02 01:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,19.4,4.0,17.2,0.0,1.0195e+03,20.0,2.6
150,0,2016-01-02 01:00:00,326.0,1,Office,65657,1.955e+03,8.0,8.2,,7.7,,1.0025e+03,110.0,8.2
0,0,2016-01-02 02:00:00,0.0,0,Education,7432,2.008e+03,,18.9,6.0,17.2,0.0,1.019e+03,10.0,2.1
50,0,2016-01-02 02:00:00,0.0,0,Other,4698,1.981e+03,,18.9,6.0,17.2,0.0,1.019e+03,10.0,2.1
100,0,2016-01-02 02:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,18.9,6.0,17.2,0.0,1.019e+03,10.0,2.1
150,0,2016-01-02 02:00:00,321.9,1,Office,65657,1.955e+03,8.0,8.5,,8.1,,1.002e+03,120.0,6.7
0,0,2016-01-02 03:00:00,0.0,0,Education,7432,2.008e+03,,18.9,,17.2,0.0,1.0185e+03,10.0,2.6
50,0,2016-01-02 03:00:00,0.0,0,Other,4698,1.981e+03,,18.9,,17.2,0.0,1.0185e+03,10.0,2.6
100,0,2016-01-02 03:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,18.9,,17.2,0.0,1.0185e+03,10.0,2.6
150,0,2016-01-02 03:00:00,320.5,1,Office,65657,1.955e+03,8.0,9.1,,8.2,,1.001e+03,130.0,7.2
0,0,2016-01-02 04:00:00,0.0,0,Education,7432,2.008e+03,,18.9,,16.7,0.0,1.0185e+03,360.0,3.6
50,0,2016-01-02 04:00:00,0.0,0,Other,4698,1.981e+03,,18.9,,16.7,0.0,1.0185e+03,360.0,3.6
100,0,2016-01-02 04:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,18.9,,16.7,0.0,1.0185e+03,360.0,3.6
150,0,2016-01-02 04:00:00,327.0,1,Office,65657,1.955e+03,8.0,9.3,,8.3,,1e+03,130.0,7.2
0,0,2016-01-02 05:00:00,0.0,0,Education,7432,2.008e+03,,18.3,,16.7,0.0,1.018e+03,10.0,3.1
50,0,2016-01-02 05:00:00,0.0,0,Other,4698,1.981e+03,,18.3,,16.7,0.0,1.018e+03,10.0,3.1
100,0,2016-01-02 05:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,18.3,,16.7,0.0,1.018e+03,10.0,3.1
150,0,2016-01-02 05:00:00,329.1,1,Office,65657,1.955e+03,8.0,9.6,,8.4,,999.0,130.0,8.2
0,0,2016-01-02 06:00:00,0.0,0,Education,7432,2.008e+03,,18.9,,16.7,0.0,1.018e+03,10.0,5.1
50,0,2016-01-02 06:00:00,0.0,0,Other,4698,1.981e+03,,18.9,,16.7,0.0,1.018e+03,10.0,5.1
100,0,2016-01-02 06:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,18.9,,16.7,0.0,1.018e+03,10.0,5.1
150,0,2016-01-02 06:00:00,331.3,1,Office,65657,1.955e+03,8.0,9.7,,8.4,,998.5,130.0,7.7
0,0,2016-01-02 07:00:00,0.0,0,Education,7432,2.008e+03,,16.7,,13.9,0.0,1.0185e+03,20.0,6.2
50,0,2016-01-02 07:00:00,0.0,0,Other,4698,1.981e+03,,16.7,,13.9,0.0,1.0185e+03,20.0,6.2
100,0,2016-01-02 07:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,16.7,,13.9,0.0,1.0185e+03,20.0,6.2
150,0,2016-01-02 07:00:00,340.2,1,Office,65657,1.955e+03,8.0,9.4,,8.8,,998.0,130.0,8.2
0,0,2016-01-02 08:00:00,0.0,0,Education,7432,2.008e+03,,15.6,8.0,13.3,-1.0,1.0195e+03,350.0,5.7
50,0,2016-01-02 08:00:00,0.0,0,Other,4698,1.981e+03,,15.6,8.0,13.3,-1.0,1.0195e+03,350.0,5.7
100,0,2016-01-02 08:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,15.6,8.0,13.3,-1.0,1.0195e+03,350.0,5.7
150,0,2016-01-02 08:00:00,353.0,1,Office,65657,1.955e+03,8.0,9.7,,8.9,,997.5,140.0,7.2
0,0,2016-01-02 09:00:00,0.0,0,Education,7432,2.008e+03,,15.0,,13.9,0.0,1.02e+03,360.0,4.1
50,0,2016-01-02 09:00:00,0.0,0,Other,4698,1.981e+03,,15.0,,13.9,0.0,1.02e+03,360.0,4.1
100,0,2016-01-02 09:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,15.0,,13.9,0.0,1.02e+03,360.0,4.1
150,0,2016-01-02 09:00:00,344.3,1,Office,65657,1.955e+03,8.0,9.9,,9.1,,997.5,140.0,7.2
0,0,2016-01-02 10:00:00,0.0,0,Education,7432,2.008e+03,,16.1,,13.3,0.0,1.021e+03,360.0,5.1
50,0,2016-01-02 10:00:00,0.0,0,Other,4698,1.981e+03,,16.1,,13.3,0.0,1.021e+03,360.0,5.1
100,0,2016-01-02 10:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,16.1,,13.3,0.0,1.021e+03,360.0,5.1
150,0,2016-01-02 10:00:00,351.8,1,Office,65657,1.955e+03,8.0,9.8,,9.4,,997.5,130.0,6.2
0,0,2016-01-02 11:00:00,0.0,0,Education,7432,2.008e+03,,17.2,,13.3,0.0,1.0215e+03,360.0,3.6
50,0,2016-01-02 11:00:00,0.0,0,Other,4698,1.981e+03,,17.2,,13.3,0.0,1.0215e+03,360.0,3.6
100,0,2016-01-02 11:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,17.2,,13.3,0.0,1.0215e+03,360.0,3.6
150,0,2016-01-02 11:00:00,356.5,1,Office,65657,1.955e+03,8.0,9.9,,9.6,,996.5,130.0,7.2
0,0,2016-01-02 12:00:00,0.0,0,Education,7432,2.008e+03,,17.8,,13.3,0.0,1.0215e+03,350.0,3.6
50,0,2016-01-02 12:00:00,0.0,0,Other,4698,1.981e+03,,17.8,,13.3,0.0,1.0215e+03,350.0,3.6
100,0,2016-01-02 12:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,17.8,,13.3,0.0,1.0215e+03,350.0,3.6
150,0,2016-01-02 12:00:00,366.7,1,Office,65657,1.955e+03,8.0,10.1,,9.5,,996.0,130.0,8.2
0,0,2016-01-02 13:00:00,0.0,0,Education,7432,2.008e+03,,19.4,,11.7,0.0,1.0205e+03,360.0,3.6
50,0,2016-01-02 13:00:00,0.0,0,Other,4698,1.981e+03,,19.4,,11.7,0.0,1.0205e+03,360.0,3.6
100,0,2016-01-02 13:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,19.4,,11.7,0.0,1.0205e+03,360.0,3.6
150,0,2016-01-02 13:00:00,362.7,1,Office,65657,1.955e+03,8.0,10.0,,9.6,,995.0,130.0,7.7
0,0,2016-01-02 14:00:00,0.0,0,Education,7432,2.008e+03,,20.6,6.0,11.7,0.0,1.0185e+03,10.0,3.1
50,0,2016-01-02 14:00:00,0.0,0,Other,4698,1.981e+03,,20.6,6.0,11.7,0.0,1.0185e+03,10.0,3.1
100,0,2016-01-02 14:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,20.6,6.0,11.7,0.0,1.0185e+03,10.0,3.1
150,0,2016-01-02 14:00:00,372.9,1,Office,65657,1.955e+03,8.0,10.0,,9.8,,994.5,120.0,8.2
0,0,2016-01-02 15:00:00,0.0,0,Education,7432,2.008e+03,,22.2,,12.8,0.0,1.0175e+03,60.0,3.1
50,0,2016-01-02 15:00:00,0.0,0,Other,4698,1.981e+03,,22.2,,12.8,0.0,1.0175e+03,60.0,3.1
100,0,2016-01-02 15:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,22.2,,12.8,0.0,1.0175e+03,60.0,3.1
150,0,2016-01-02 15:00:00,360.6,1,Office,65657,1.955e+03,8.0,10.2,,10.2,,994.5,140.0,5.7
0,0,2016-01-02 16:00:00,0.0,0,Education,7432,2.008e+03,,22.8,,13.9,0.0,1.017e+03,20.0,3.1
50,0,2016-01-02 16:00:00,0.0,0,Other,4698,1.981e+03,,22.8,,13.9,0.0,1.017e+03,20.0,3.1
100,0,2016-01-02 16:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,22.8,,13.9,0.0,1.017e+03,20.0,3.1
150,0,2016-01-02 16:00:00,360.8,1,Office,65657,1.955e+03,8.0,11.2,,11.1,,994.5,190.0,5.1
0,0,2016-01-02 17:00:00,0.0,0,Education,7432,2.008e+03,,21.1,,13.9,0.0,1.0175e+03,350.0,5.1
50,0,2016-01-02 17:00:00,0.0,0,Other,4698,1.981e+03,,21.1,,13.9,0.0,1.0175e+03,350.0,5.1
100,0,2016-01-02 17:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,21.1,,13.9,0.0,1.0175e+03,350.0,5.1
150,0,2016-01-02 17:00:00,359.9,1,Office,65657,1.955e+03,8.0,10.9,,10.5,,995.5,210.0,6.7
0,0,2016-01-02 18:00:00,0.0,0,Education,7432,2.008e+03,,20.0,,13.9,0.0,1.018e+03,10.0,4.1
50,0,2016-01-02 18:00:00,0.0,0,Other,4698,1.981e+03,,20.0,,13.9,0.0,1.018e+03,10.0,4.1
100,0,2016-01-02 18:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,20.0,,13.9,0.0,1.018e+03,10.0,4.1
150,0,2016-01-02 18:00:00,355.3,1,Office,65657,1.955e+03,8.0,10.9,,10.3,,996.0,230.0,7.2
0,0,2016-01-02 19:00:00,0.0,0,Education,7432,2.008e+03,,18.9,,13.9,0.0,1.018e+03,10.0,4.6
50,0,2016-01-02 19:00:00,0.0,0,Other,4698,1.981e+03,,18.9,,13.9,0.0,1.018e+03,10.0,4.6
100,0,2016-01-02 19:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,18.9,,13.9,0.0,1.018e+03,10.0,4.6
150,0,2016-01-02 19:00:00,350.4,1,Office,65657,1.955e+03,8.0,10.4,,9.7,,997.0,260.0,8.2
0,0,2016-01-02 20:00:00,0.0,0,Education,7432,2.008e+03,,17.8,8.0,13.9,0.0,1.018e+03,10.0,5.1
50,0,2016-01-02 20:00:00,0.0,0,Other,4698,1.981e+03,,17.8,8.0,13.9,0.0,1.018e+03,10.0,5.1
100,0,2016-01-02 20:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,17.8,8.0,13.9,0.0,1.018e+03,10.0,5.1
150,0,2016-01-02 20:00:00,337.9,1,Office,65657,1.955e+03,8.0,10.1,,9.6,,998.5,270.0,6.2
0,0,2016-01-02 21:00:00,0.0,0,Education,7432,2.008e+03,,16.7,,12.8,0.0,1.0185e+03,20.0,6.7
50,0,2016-01-02 21:00:00,0.0,0,Other,4698,1.981e+03,,16.7,,12.8,0.0,1.0185e+03,20.0,6.7
100,0,2016-01-02 21:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,16.7,,12.8,0.0,1.0185e+03,20.0,6.7
150,0,2016-01-02 21:00:00,332.0,1,Office,65657,1.955e+03,8.0,9.9,,9.6,,999.0,260.0,8.8
0,0,2016-01-02 22:00:00,0.0,0,Education,7432,2.008e+03,,16.7,,12.8,0.0,1.0185e+03,20.0,4.1
50,0,2016-01-02 22:00:00,0.0,0,Other,4698,1.981e+03,,16.7,,12.8,0.0,1.0185e+03,20.0,4.1
100,0,2016-01-02 22:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,16.7,,12.8,0.0,1.0185e+03,20.0,4.1
150,0,2016-01-02 22:00:00,327.4,1,Office,65657,1.955e+03,8.0,9.9,,9.0,,1e+03,260.0,7.2
0,0,2016-01-02 23:00:00,0.0,0,Education,7432,2.008e+03,,16.1,,12.8,0.0,1.018e+03,350.0,4.1
50,0,2016-01-02 23:00:00,0.0,0,Other,4698,1.981e+03,,16.1,,12.8,0.0,1.018e+03,350.0,4.1
100,0,2016-01-02 23:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,16.1,,12.8,0.0,1.018e+03,350.0,4.1
150,0,2016-01-02 23:00:00,325.8,1,Office,65657,1.955e+03,8.0,10.0,,9.2,,1.0005e+03,250.0,6.2
0,0,2016-01-03 00:00:00,0.0,0,Education,7432,2.008e+03,,16.7,,12.8,0.0,1.0185e+03,340.0,5.1
50,0,2016-01-03 00:00:00,0.0,0,Other,4698,1.981e+03,,16.7,,12.8,0.0,1.0185e+03,340.0,5.1
100,0,2016-01-03 00:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,16.7,,12.8,0.0,1.0185e+03,340.0,5.1
150,0,2016-01-03 00:00:00,319.4,1,Office,65657,1.955e+03,8.0,9.7,,9.2,,1.001e+03,240.0,6.7
0,0,2016-01-03 01:00:00,0.0,0,Education,7432,2.008e+03,,15.6,,12.8,-1.0,1.019e+03,330.0,5.1
50,0,2016-01-03 01:00:00,0.0,0,Other,4698,1.981e+03,,15.6,,12.8,-1.0,1.019e+03,330.0,5.1
100,0,2016-01-03 01:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,15.6,,12.8,-1.0,1.019e+03,330.0,5.1
150,0,2016-01-03 01:00:00,319.3,1,Office,65657,1.955e+03,8.0,9.3,,8.5,,1.0015e+03,250.0,9.3
0,0,2016-01-03 02:00:00,0.0,0,Education,7432,2.008e+03,,15.6,8.0,13.3,-1.0,1.0185e+03,330.0,8.2
50,0,2016-01-03 02:00:00,0.0,0,Other,4698,1.981e+03,,15.6,8.0,13.3,-1.0,1.0185e+03,330.0,8.2
100,0,2016-01-03 02:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,15.6,8.0,13.3,-1.0,1.0185e+03,330.0,8.2
150,0,2016-01-03 02:00:00,319.2,1,Office,65657,1.955e+03,8.0,8.5,,7.2,,1.002e+03,250.0,7.7
0,0,2016-01-03 03:00:00,0.0,0,Education,7432,2.008e+03,,15.0,,12.2,0.0,1.018e+03,350.0,6.2
50,0,2016-01-03 03:00:00,0.0,0,Other,4698,1.981e+03,,15.0,,12.2,0.0,1.018e+03,350.0,6.2
